"Ad name","Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)","Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","Shop clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Cost per landing page view","hold rate","hook rate","LPV rate","Reporting starts","Reporting ends"
,,,,mixed,,3078159,11.64059426,,42888.07,0,0,0,35831600,1.19693427,1031527,0,0.04157726,2.87881925,1951728,5.44694627,0.02197441,749179,0.05724676,0.31902802,0.27283688,0.72628152,2025-06-25,2026-05-23
"guava cbo add 2",not_delivering,ad,"7-day click or 1-day view","Website purchases",1145,1195570,2.12658983,1.81275109,2075.6,Average,"Above average",Average,2542487,0.81636602,94857,0,0.02188136,3.73087453,186083,7.31893614,0.01115416,67042,0.0309597,0.44551461,0.42384091,0.70676914,2025-06-25,2026-05-23
"lanj add 1",not_delivering,ad,"7-day click or 1-day view","Website purchases",611,538868,2.40810365,2.68031097,1637.67,-,-,-,1297650,1.26202751,31453,0,0.05206721,2.4238431,63926,4.92628983,0.02561821,22380,0.0731756,0.30183028,0.31620237,0.71153785,2025-06-25,2026-05-23
"njass ad 2",not_delivering,ad,"7-day click or 1-day view","Website purchases",730,483935,2.40159526,2.19106849,1599.48,Average,"Above average",Average,1162216,1.37623299,36795,0,0.04347004,3.16593473,66420,5.71494455,0.0240813,27127,0.05896266,0.28779915,0.32562019,0.73724691,2025-06-25,2026-05-23
"Bougainvillier ad 1",not_delivering,ad,"7-day click or 1-day view","Website purchases",689,877060,2.23644106,2.23648766,1540.94,Average,"Above average","Above average",1961493,0.78559546,38617,0,0.03990315,1.96875543,75873,3.86812494,0.02030946,28478,0.05410984,0.28995601,0.22947826,0.73744724,2025-06-25,2026-05-23
"fell w yassmine add 1",not_delivering,ad,"7-day click or 1-day view","Website purchases",611,360137,2.28471943,2.16702128,1324.05,-,-,-,822812,1.60917682,29381,0,0.04506484,3.57080354,51719,6.28563998,0.02560084,22899,0.0578213,0.28176042,0.28252748,0.77938123,2025-06-25,2026-05-23
"شجرة حب الملوك2 image",not_delivering,ad,"7-day click or 1-day view","Website purchases",555,621008,2.4681711,2.16578378,1202.01,"Above average","Above average","Above average",1532754,0.78421586,29609,0,0.0405961,1.93175161,51046,3.33034525,0.02354758,20072,0.05988491,,0,0.67790199,2025-06-25,2026-05-23
"3neb add 2",not_delivering,ad,"7-day click or 1-day view","Website purchases",466,656703,1.7925531,2.19214592,1021.54,Average,"Above average",Average,1177175,0.86778941,27944,0,0.03655668,2.37381868,50331,4.275575,0.02029644,20501,0.04982879,0.28496323,0.35935439,0.73364586,2025-06-25,2026-05-23
"papaya  nouvelle add  1 ba3d l hachwa",not_delivering,ad,"7-day click or 1-day view","Website purchases",674,476453,2.33894424,1.50721068,1015.86,"Above average","Above average",Average,1114397,0.91157819,24525,0,0.04142141,2.20074175,50753,4.55430156,0.02001576,17699,0.05739646,0.27185083,0.23139151,0.72167176,2025-06-25,2026-05-23
"شجرة حب الملوك2",not_delivering,ad,"7-day click or 1-day view","Website purchases",409,274124,1.80810509,2.43643032,996.5,Average,"Above average","Above average",495645,2.01051156,16266,0,0.06126276,3.28178434,31003,6.25508176,0.03214205,12632,0.07888695,0.25699718,0.443973,0.7765892,2025-06-25,2026-05-23
