"Campaign name","Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)","Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","Shop clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Cost per landing page view","LPV rate","hold rate","hook rate","Purchases rate per landing page views","Reporting starts","Reporting ends"
"RED ONE CAMPAGNE",active,campaign,"Multiple attribution settings","Website purchases",3841,2264798,3.17909279,2.18747722,8402.1,-,-,-,7200003,1.16695785,235717,0,0.03564486,3.27384586,405094,5.62630321,0.02074111,163269,0.0514617,0.69264839,0.25959587,0.40280969,2.35317176,2025-06-25,2026-05-23
3neb,active,campaign,"7-day click or 1-day view","Website purchases",2669,962082,4.82337784,2.13479206,5697.76,-,-,-,4640485,1.22783718,139160,0,0.04094395,2.99882448,240878,5.19079363,0.02365413,100977,0.05642631,0.72561799,0.29682695,0.2373392,2.64317617,2025-06-25,2026-05-23
lanj,inactive,campaign,"7-day click or 1-day view","Website purchases",2342,1002311,4.46744873,2.3677199,5545.2,-,-,-,4477773,1.23838346,120293,0,0.04609745,2.68644704,240783,5.37729358,0.02302987,84741,0.06543704,0.70445496,0.29296862,0.26979595,2.76371532,2025-06-25,2026-05-23
Bougainvillier,inactive,campaign,"7-day click or 1-day view","Website purchases",2350,1355192,4.24999557,2.31851915,5448.52,-,-,-,5759560,0.94599587,126389,0,0.04310913,2.1944211,248222,4.30973894,0.02195019,93840,0.05806181,0.74246968,0.28218733,0.2331501,2.50426257,2025-06-25,2026-05-23
"Brown Turkey Fig",inactive,campaign,"Multiple attribution settings","Website purchases",3868,1486152,4.21279115,1.38650465,5363,-,-,-,6260848,0.85659323,201226,0,0.02665163,3.21403746,392381,6.26721811,0.01366784,143766,0.03730367,0.71445042,0.29927747,0.3657217,2.69117872,2025-06-25,2026-05-23
"njass campagne 1 abo",inactive,campaign,"7-day click or 1-day view","Website purchases",2235,829761,4.13103532,2.20581655,4930,-,-,-,3427772,1.43825202,111564,0,0.04418988,3.25470889,197253,5.75455427,0.02499328,83272,0.05920357,0.74640565,0.26871078,0.33045255,2.68397541,2025-06-25,2026-05-23
الريحان,inactive,campaign,"Multiple attribution settings",actions:purchase,3194,1018280,3.91986192,1.48220726,4734.17,-,-,-,3991517,1.18605783,123902,0,0.03820899,3.10413309,240755,6.03166666,0.01966385,89477,0.05290935,0.72215945,0.39104111,0.24595937,3.56963242,2025-06-25,2026-05-23
"papaya  nouvelle campagne ba3d l hachwa",inactive,campaign,"7-day click or 1-day view","Website purchases",2540,1146515,3.73622063,1.73758268,4413.46,-,-,-,4283633,1.03030769,110942,0,0.03978169,2.58990441,235643,5.50100814,0.01872943,79989,0.05517584,0.72099836,0.34594032,0.33232282,3.17543662,2025-06-25,2026-05-23
"compost nv abo",active,campaign,"Multiple attribution settings","Website purchases",983,728863,3.78568263,4.40753815,4332.61,-,-,-,2759244,1.57021633,94510,0,0.04584287,3.42521357,173655,6.29357172,0.02494953,60990,0.07103804,0.64532854,0.29468596,0.33982098,1.61173963,2025-06-25,2026-05-23
"الرمان التستوري",inactive,campaign,"Multiple attribution settings","Website purchases",1638,634426,3.14705104,2.56072039,4194.46,-,-,-,1996571,2.10083188,90983,0,0.04610158,4.55696291,161129,8.07028651,0.02603169,65381,0.06415411,0.71860677,0.31955342,0.34184359,2.505315,2025-06-25,2026-05-23
"القارس 4 saisons",inactive,campaign,"Multiple attribution settings","Website purchases",1579,848058,4.11810631,2.44674478,3863.41,-,-,-,3492393,1.10623575,103095,0,0.03747427,2.95198736,183016,5.24041825,0.02110968,76834,0.05028256,0.74527378,0.30069544,0.2350586,2.05507978,2025-06-25,2026-05-23
"شجرة حب الملوك 2",inactive,campaign,"7-day click or 1-day view","Website purchases",1532,1042249,3.37809391,2.49535901,3822.89,-,-,-,3520815,1.0857969,86611,0,0.04413862,2.45997021,155533,4.41752833,0.02457929,61153,0.06251353,0.70606505,0.268308,0.12436183,2.5051919,2025-06-25,2026-05-23
"fell  w yassmine",inactive,campaign,"7-day click or 1-day view","Website purchases",1299,551167,3.5587635,2.60377983,3382.31,-,-,-,1961473,1.72437245,69206,0,0.04887307,3.52826677,120475,6.14206772,0.02807479,52510,0.06441268,0.75874924,0.27970837,0.232019,2.47381451,2025-06-25,2026-05-23
Gardinia,inactive,campaign,"7-day click or 1-day view","Website purchases",1570,344004,4.07279567,1.7676051,2775.14,-,-,-,1401058,1.98074598,52446,0,0.05291424,3.74331398,89548,6.3914556,0.03099053,41990,0.0660905,0.80063303,0.32069056,0.29659514,3.73898547,2025-06-25,2026-05-23
Carrisca,inactive,campaign,"7-day click or 1-day view","Website purchases",1075,530015,3.07814307,2.40584186,2586.28,-,-,-,1631462,1.58525298,58936,0,0.04388286,3.61246538,109909,6.73684094,0.0235311,42628,0.06067092,0.72329306,0.3709531,0.36456626,2.52181665,2025-06-25,2026-05-23
khoukh,inactive,campaign,"7-day click or 1-day view","Website purchases",809,987793,3.2314493,2.83546354,2293.89,-,-,-,3192003,0.71863654,57988,0,0.03955801,1.81666496,150150,4.70394295,0.01527732,38345,0.0598224,0.6612575,0.26722327,0.06262651,2.10979267,2025-06-25,2026-05-23
jasmin,inactive,campaign,"7-day click or 1-day view","Website purchases",951,426356,3.04523215,2.31984227,2206.17,-,-,-,1298353,1.69920661,40585,0,0.05435925,3.12588333,74281,5.72117136,0.02970033,30135,0.07320956,0.74251571,0.28737462,0.26275905,3.1557989,2025-06-25,2026-05-23
"guava campagne 2 CBO",inactive,campaign,"7-day click or 1-day view","Website purchases",1145,1195570,2.12658983,1.81275109,2075.6,-,-,-,2542487,0.81636602,94857,0,0.02188136,3.73087453,186083,7.31893614,0.01115416,67042,0.0309597,0.70676914,0.44551461,0.42384091,1.70788461,2025-06-25,2026-05-23
"zidi 2",inactive,campaign,"7-day click or 1-day view","Website purchases",765,851677,2.05403457,2.67054902,2042.97,-,-,-,1749374,1.16782918,58230,0,0.03508449,3.32861927,103384,5.90977115,0.01976099,41778,0.04890062,0.71746522,0.31186915,0.35288223,1.83110728,2025-06-25,2026-05-23
"guava abo nv 1",inactive,campaign,"Multiple attribution settings","Website purchases",850,1139099,1.84129211,2.38165882,2024.41,-,-,-,2097414,0.96519333,85138,0,0.02377798,4.05918908,165677,7.89910814,0.01221902,59800,0.03385301,0.70238906,0.46786374,0.42242161,1.42140468,2025-06-25,2026-05-23
